razon,id,fecha,primera_vez,primer_id,nombre_proyecto,url
TITULO_DUPLICADO_SIN_URL,BOA20250416027,20250416,20250401,BOA20250401034,Planta Fotovoltaica Abedul V,
TITULO_DUPLICADO_SIN_URL,BOA20250416028,20250416,20250401,BOA20250401034,Planta Fotovoltaica Abedul VI,
TITULO_DUPLICADO_SIN_URL,BOA20250416035,20250416,20250414,BOA20250414035,LAT Valjunquera,
TITULO_DUPLICADO_SIN_URL,BOA20250416036,20250416,20250414,BOA20250414035,LAT 132kV SET Valdepilas - SET Valderrobres,
TITULO_DUPLICADO_SIN_URL,BOA20250416040,20250416,20250414,BOA20250414035,Línea Subterránea Media Tensión Parque Fotovoltaico Tardienta,
TITULO_DUPLICADO_SIN_URL,BOA20250416041,20250416,20250414,BOA20250414035,Línea Subterránea Media Tensión Tardienta,
TITULO_CROSS_URL,BOLR-20250416-0,20250416,-,-,Parque Fotovoltaico Najerilla Solar POT 1 MW,https://ias1.larioja.org/boletin/Bor_Boletin_visor_Servlet?referencia=40473173-1-PDF-577396-X
TITULO_CROSS_URL,BOLR-20250417-0,20250417,-,-,Parque Fotovoltaico Najerilla Solar POT 1 MW,https://ias1.larioja.org/boletin/Bor_Boletin_visor_Servlet?referencia=40473173-1-PDF-577396-X
TITULO_CROSS_URL,BOLR-20250418-0,20250418,-,-,Parque Fotovoltaico Najerilla Solar POT,https://ias1.larioja.org/boletin/Bor_Boletin_visor_Servlet?referencia=40473173-1-PDF-577396-X
TITULO_DUPLICADO_SIN_URL,BOA20250421035,20250421,20250421,BOA20250421034,Parque Eólico Virgen de los Dolores,
TITULO_DUPLICADO_SIN_URL,BOA20250421036,20250421,20250421,BOA20250421034,Parque Eólico Virgen del Campo,
TITULO_DUPLICADO_SIN_URL,BOA20250421037,20250421,20250403,BOA20250403039,LAT Subterránea Alta Tensión CT Pitarco - SET FV Pitarco,
TITULO_DUPLICADO_SIN_URL,BOA20250421038,20250421,20250403,BOA20250403039,Hibridación PE Pitarco B,
TITULO_DUPLICADO_SIN_URL,BOA20250421039,20250421,20250403,BOA20250403039,Hibridación PE Pitarco C,
TITULO_CROSS_URL,BOLR-20250421-0,20250421,-,-,Parque Fotovoltaico Najerilla Solar POT 1 MW,https://ias1.larioja.org/boletin/Bor_Boletin_visor_Servlet?referencia=40473173-1-PDF-577396-X
TITULO_DUPLICADO_SIN_URL,BOA20250422028,20250422,20250421,BOA20250421034,Planta Fotovoltaica Mezquita Bensolar,
TITULO_CROSS_URL,BOLR-20250422-0,20250422,-,-,Parque Fotovoltaico Najerilla Solar POT 1 MW,https://ias1.larioja.org/boletin/Bor_Boletin_visor_Servlet?referencia=40473173-1-PDF-577396-X
TITULO_CROSS_URL,BOLR-20250423-0,20250423,-,-,Parque Fotovoltaico Najerilla Solar POT 1 MW,https://ias1.larioja.org/boletin/Bor_Boletin_visor_Servlet?referencia=40473173-1-PDF-577396-X
TITULO_CROSS_URL,BOLR-20250424-0,20250424,-,-,Parque Fotovoltaico Najerilla Solar POT 1 MW,https://ias1.larioja.org/boletin/Bor_Boletin_visor_Servlet?referencia=40473173-1-PDF-577396-X
