distribuidora,subestacion,tension_kv,provincia,n_eventos_hist,años_distintos,trimestre_patron,concentracion_pct,avg_delta_mw,max_delta_mw,ultimo_evento,ventana_inicio,ventana_fin,estado_ventana,confianza,fechas_historicas,proyectos_ids,proyectos_estados
iDE,CARLET      132.00,132.0,VALENCIA,3,2,4,100.0,122.0,141.1,2025-11-01,2026-10-01,2026-12-31,en 129d,0.69,2024-12-02|2025-10-01|2025-11-01,,
iDE,PICAÑA      132.00,132.0,VALENCIA,5,3,4,60.0,102.2,189.1,2026-03-01,2026-10-01,2026-12-31,en 129d,0.69,2024-05-29|2024-11-15|2025-10-01|2025-11-01|2026-03-01,,
iDE,AYALA       132.00,132.0,MADRID,5,3,4,60.0,99.2,220.5,2026-03-01,2026-10-01,2026-12-31,en 129d,0.69,2024-06-25|2024-12-02|2025-10-01|2025-11-01|2026-03-01,,
REE,ARROYO DE LA VEGA,220.0,,3,2,2,100.0,98.7,125.0,2025-06-02,2026-04-01,2026-06-30,EN_CURSO,0.69,2024-04-01|2024-06-03|2025-06-02,prj_00242|prj_02545,otorgado|informacion_publica
REE,BIESCAS,220.0,,3,2,2,100.0,66.7,100.0,2026-05-01,2026-04-01,2026-06-30,EN_CURSO,0.69,2025-04-01|2025-05-05|2026-05-01,,
iDE,C.UNIVER    132.00,132.0,MADRID,5,3,4,60.0,65.2,138.8,2026-03-01,2026-10-01,2026-12-31,en 129d,0.69,2024-05-29|2024-10-29|2025-10-01|2025-11-01|2026-03-01,,
iDE,VILLAMTE    66.000,66.0,VALENCIA,5,3,4,60.0,44.6,67.0,2026-05-01,2026-10-01,2026-12-31,en 129d,0.69,2024-12-02|2025-02-26|2025-10-01|2025-11-01|2026-05-01,,
Endesa,TARRACO,110.0,Tarragona,5,3,2,60.0,35.0,94.9,2026-03-01,2026-04-01,2026-06-30,EN_CURSO,0.69,2022-04-01|2022-05-01|2022-06-01|2025-12-01|2026-03-01,,
Endesa,TORRECIL,66.0,Córdoba,5,3,4,60.0,30.0,59.9,2025-10-01,2026-10-01,2026-12-31,en 129d,0.69,2021-11-01|2021-12-01|2022-03-01|2022-04-01|2025-10-01,,
iDE,LOS ARENALES 45.00,45.0,CÁCERES,3,2,4,100.0,29.7,45.0,2025-12-01,2026-10-01,2026-12-31,en 129d,0.69,2024-11-15|2025-10-03|2025-12-01,,
Endesa,ALCORES,66.0,Sevilla,5,3,4,60.0,25.1,64.9,2025-10-01,2026-10-01,2026-12-31,en 129d,0.69,2021-08-01|2021-10-01|2021-12-01|2022-05-01|2025-10-01,,
Endesa,DOSHMNAS,66.0,Sevilla,3,2,4,100.0,24.1,47.3,2025-10-01,2026-10-01,2026-12-31,en 129d,0.69,2021-10-01|2021-11-01|2025-10-01,,
Endesa,CERROGOR,66.0,Badajoz,5,3,4,60.0,22.3,33.5,2026-05-01,2026-10-01,2026-12-31,en 129d,0.69,2021-09-01|2021-11-01|2025-10-01|2025-12-01|2026-05-01,,
Endesa,RIOCAYA,66.0,Badajoz,5,4,4,60.0,20.7,42.3,2026-05-01,2026-10-01,2026-12-31,en 129d,0.69,2021-11-01|2022-01-01|2025-10-01|2025-12-01|2026-05-01,,
iDE,POLIGONC T4,15.0,MADRID,3,2,4,100.0,20.7,26.0,2025-11-01,2026-10-01,2026-12-31,en 129d,0.69,2024-10-29|2025-10-01|2025-11-01,,
iDE,BENIDORM T2,20.0,ALICANTE,3,2,4,100.0,20.5,23.2,2025-11-01,2026-10-01,2026-12-31,en 129d,0.69,2023-11-30|2025-10-01|2025-11-01,,
REE,SENTMENAT,220.0,,5,3,1,60.0,20.0,34.0,2026-02-20,2027-01-01,2027-03-31,en 221d,0.69,2024-01-02|2024-07-01|2025-02-03|2025-10-01|2026-02-20,,
iDE,AGUACATE T2,15.0,MADRID,3,2,4,100.0,19.7,24.6,2025-11-01,2026-10-01,2026-12-31,en 129d,0.69,2024-10-29|2025-10-01|2025-11-01,,
iDE,BENIDORM T3,20.0,ALICANTE,3,2,4,100.0,19.4,26.3,2025-11-01,2026-10-01,2026-12-31,en 129d,0.69,2024-12-02|2025-10-01|2025-11-01,,
iDE,AGUACATE T3,15.0,MADRID,3,2,4,100.0,18.5,25.9,2025-11-01,2026-10-01,2026-12-31,en 129d,0.69,2023-12-21|2025-10-01|2025-11-01,,
iDE,ST GAMARRA A30.000,30.0,ÁLAVA,5,3,4,60.0,18.1,29.6,2025-11-01,2026-10-01,2026-12-31,en 129d,0.69,2023-12-21|2024-03-22|2025-01-30|2025-10-01|2025-11-01,,
Endesa,CARRIZAL,20.0,Las Palmas,5,3,4,60.0,15.8,30.2,2025-10-01,2026-10-01,2026-12-31,en 129d,0.69,2021-10-01|2021-12-01|2022-01-01|2022-04-01|2025-10-01,,
iDE,GAMARRA B   30.000,30.0,ÁLAVA,5,3,4,60.0,15.2,29.6,2025-11-01,2026-10-01,2026-12-31,en 129d,0.69,2023-12-21|2024-03-22|2025-01-30|2025-10-01|2025-11-01,,
iDE,BENIDORM T1,20.0,ALICANTE,3,2,4,100.0,14.3,18.9,2025-11-01,2026-10-01,2026-12-31,en 129d,0.69,2023-12-21|2025-10-01|2025-11-01,,
iDE,LL.CUART    66.000,66.0,VALENCIA,5,3,4,60.0,13.9,18.6,2026-03-01,2026-10-01,2026-12-31,en 129d,0.69,2024-12-02|2025-02-26|2025-10-01|2025-11-01|2026-03-01,,
iDE,PALMERAL T2,20.0,ALICANTE,3,2,4,100.0,12.2,14.6,2025-11-01,2026-10-01,2026-12-31,en 129d,0.69,2024-12-02|2025-10-01|2025-11-01,,
Endesa,RASTRO,66.0,Sevilla,3,2,2,100.0,9.5,14.7,2026-05-01,2026-04-01,2026-06-30,EN_CURSO,0.69,2022-04-01|2022-06-01|2026-05-01,,
iDE,S.AGUSTI T3,20.0,MADRID,3,2,4,100.0,9.0,12.0,2025-11-01,2026-10-01,2026-12-31,en 129d,0.69,2024-12-02|2025-10-03|2025-11-01,,
iDE,LADA        132.00,132.0,ASTURIAS,3,2,4,100.0,8.7,10.2,2025-11-01,2026-10-01,2026-12-31,en 129d,0.69,2024-11-15|2025-10-01|2025-11-01,,
iDE,LL.CUART T2,20.0,VALENCIA,3,2,4,100.0,8.6,8.9,2025-11-01,2026-10-01,2026-12-31,en 129d,0.69,2024-12-02|2025-10-01|2025-11-01,,
