fecha,distribuidora,provincia,subestacion,tension_kv,disponible_neta,prev_disp,delta,mes,trimestre,año
2025-01-30,iDE,ALICANTE,JAVEA       132.00,132.0,189.14,59.43,129.70999999999998,1,1,2025
2025-11-01,iDE,ALICANTE,JAVEA       132.00,132.0,187.44,0.0,187.44,11,4,2025
2023-11-30,iDE,ALICANTE,JAVEA 132.00,132.0,214.65,203.36,11.289999999999992,11,4,2023
2025-10-01,iDE,ALICANTE,JAVEA T1,20.0,17.8192,0.0,17.8192,10,4,2025
2025-11-01,iDE,ALICANTE,JAVEA T1,20.0,17.82,0.0,17.82,11,4,2025
2025-10-01,iDE,ALICANTE,JAVEA T2,20.0,27.7975,0.0,27.7975,10,4,2025
2025-11-01,iDE,ALICANTE,JAVEA T2,20.0,27.8,0.0,27.8,11,4,2025
2025-10-03,iDE,ALICANTE,JIJONA      132.00,132.0,8.44,0.0,8.44,10,4,2025
2025-10-01,iDE,MADRID,JUCIERVA T1,45.0,27.9569,0.0,27.9569,10,4,2025
2025-10-01,iDE,MADRID,JUCIERVA T2,45.0,28.1,0.0,28.1,10,4,2025
2024-03-22,iDE,MADRID,JUNCAL T1,15.0,13.96,0.0,13.96,3,1,2024
2024-06-25,iDE,MADRID,JUNCAL T1,15.0,24.75,13.96,10.79,6,2,2024
2025-10-01,iDE,MADRID,JUNCAL T1,15.0,9.392,0.0,9.392,10,4,2025
2025-11-01,iDE,MADRID,JUNCAL T1,15.0,9.39,0.0,9.39,11,4,2025
2026-03-01,iDE,Madrid,JUNCAL T1,15.0,9.39,-0.01,9.4,3,1,2026
2024-03-22,iDE,MADRID,JUNCAL T1,45.0,24.75,0.0,24.75,3,1,2024
2025-10-01,iDE,MADRID,JUNCAL T1,45.0,20.182,0.0,20.182,10,4,2025
2025-11-01,iDE,MADRID,JUNCAL T1,45.0,20.18,0.0,20.18,11,4,2025
2024-07-23,iDE,MADRID,L.ROZAS     132.00,132.0,52.49,0.0,52.49,7,3,2024
2024-09-26,iDE,MADRID,L.ROZAS     132.00,132.0,58.5,33.65,24.85,9,3,2024
2025-01-30,iDE,MADRID,L.ROZAS     132.00,132.0,104.97,54.68,50.29,1,1,2025
2025-10-01,iDE,MADRID,L.ROZAS     132.00,132.0,109.24,0.0,109.24,10,4,2025
2025-11-01,iDE,MADRID,L.ROZAS     132.00,132.0,109.18,0.0,109.18,11,4,2025
2025-10-03,iDE,VALLADOLID,LA ENCOMIENDA T1 13,13.2,0.0,-5.16,5.16,10,4,2025
2025-10-03,iDE,MURCIA,LA GUIA     132.00,132.0,8.76,0.0,8.76,10,4,2025
2024-05-29,iDE,ALICANTE,LA LLOMA    132.00,132.0,46.0,31.63,14.370000000000001,5,2,2024
2024-06-25,iDE,ALICANTE,LA LLOMA    132.00,132.0,63.21,46.0,17.21,6,2,2024
2024-07-23,iDE,ALICANTE,LA LLOMA    132.00,132.0,76.02,63.21,12.809999999999995,7,3,2024
2024-12-02,iDE,ALICANTE,LA LLOMA    132.00,132.0,57.96,50.39,7.57,12,4,2024
2025-01-30,iDE,ALICANTE,LA LLOMA    132.00,132.0,183.0,57.96,125.03999999999999,1,1,2025
2025-04-11,iDE,ALICANTE,LA LLOMA    132.00,132.0,183.11,171.95,11.160000000000025,4,2,2025
2025-11-01,iDE,ALICANTE,LA LLOMA    132.00,132.0,180.72,0.0,180.72,11,4,2025
2026-05-01,iDE,Alicante/Alacant,LA LLOMA    132.00,132.0,160.1,118.42,41.67999999999999,5,2,2026
2023-12-21,iDE,ALICANTE,LA LLOMA 132.00,132.0,109.08,79.08,30.0,12,4,2023
2024-02-28,iDE,ALICANTE,LA LLOMA T1,20.0,27.56,12.66,14.899999999999999,2,1,2024
2025-10-01,iDE,ALICANTE,LA LLOMA T1,20.0,27.3997,0.0,27.3997,10,4,2025
2025-11-01,iDE,ALICANTE,LA LLOMA T1,20.0,27.4,0.0,27.4,11,4,2025
2025-10-01,iDE,ALICANTE,LA LLOMA T2,20.0,22.9987,0.0,22.9987,10,4,2025
2025-11-01,iDE,ALICANTE,LA LLOMA T2,20.0,23.0,0.0,23.0,11,4,2025
2025-01-30,iDE,ALICANTE,LA NUCIA    132.00,132.0,195.83,65.21,130.62,1,1,2025
2025-04-11,iDE,ALICANTE,LA NUCIA    132.00,132.0,241.94,191.79,50.150000000000006,4,2,2025
2025-11-01,iDE,ALICANTE,LA NUCIA    132.00,132.0,203.1,0.0,203.1,11,4,2025
2025-12-01,iDE,Alicante/Alacant,LA NUCIA    132.00,132.0,225.67,203.1,22.569999999999993,12,4,2025
2026-01-01,iDE,Alicante/Alacant,LA NUCIA    132.00,132.0,278.6,225.67,52.930000000000035,1,1,2026
2026-05-01,iDE,Alicante/Alacant,LA NUCIA    132.00,132.0,166.54,126.54,39.999999999999986,5,2,2026
2025-10-01,iDE,ALICANTE,LA NUCIA T1,20.0,19.1791,0.0,19.1791,10,4,2025
2025-11-01,iDE,ALICANTE,LA NUCIA T1,20.0,18.99,0.0,18.99,11,4,2025
2025-01-30,iDE,CASTELLÓN,LA PLANA    132.00,132.0,70.7,34.45,36.25,1,1,2025
2026-01-01,iDE,Castellón/Castelló,LA PLANA    132.00,132.0,2.68,-2.59,5.27,1,1,2026
2024-06-25,iDE,VALENCIA,LA PUNTA    132.00,132.0,119.39,10.0,109.39,6,2,2024
2024-10-29,iDE,VALENCIA,LA PUNTA    132.00,132.0,76.81,69.52,7.290000000000006,10,4,2024
2024-11-15,iDE,VALENCIA,LA PUNTA    132.00,132.0,110.07,76.81,33.25999999999999,11,4,2024
2025-01-30,iDE,VALENCIA,LA PUNTA    132.00,132.0,95.16,88.97,6.189999999999998,1,1,2025
