fecha,ccaa,provincia,subestacion,tension_kv,lat,lon,disponible,ocupada_total,admitida_total,disponible_neta
2021-07-01,01 - Andalucía,Cádiz,MVCHIPIO,15,36.73188891,-6.39701374,38.5,0.0,0.0,38.5
2021-07-01,01 - Andalucía,Cádiz,OLVERA,66,36.93290252,-5.23819074,15.3,0.0,0.0,15.3
2021-07-01,01 - Andalucía,Cádiz,OLVERA,33,36.93290252,-5.23819074,13.3,0.0,0.0,13.3
2021-07-01,01 - Andalucía,Cádiz,OXIGENO,66,36.20473594,-5.41298672,0.0,0.0,0.0,0.0
2021-07-01,01 - Andalucía,Cádiz,PESUR,66,36.06217911,-5.58816975,0.0,42.0,0.0,0.0
2021-07-01,01 - Andalucía,Cádiz,PINARREY,66,36.24814946,-5.41257947,0.0,128.8,0.0,0.0
2021-07-01,01 - Andalucía,Cádiz,PLATERO,66,36.60768387,-6.24930577,57.5,0.0,0.0,57.5
2021-07-01,01 - Andalucía,Cádiz,PLATERO,15,36.60768387,-6.24930577,45.3,4.4,0.0,45.3
2021-07-01,01 - Andalucía,Cádiz,PTO_CRUZ,66,36.0729952,-5.61511958,82.0,0.0,0.0,82.0
2021-07-01,01 - Andalucía,Cádiz,PTO_REAL,132,36.51848426,-6.15586541,120.2,45.8,0.0,120.2
2021-07-01,01 - Andalucía,Cádiz,PTO_REAL,66,36.51848426,-6.15586541,115.6,96.0,0.0,115.6
2021-07-01,01 - Andalucía,Cádiz,PTO_REAL,20,36.51848426,-6.15586541,35.3,0.0,0.0,35.3
2021-07-01,01 - Andalucía,Cádiz,PTO_SMAR,66,36.67055785,-6.30093679,88.1,71.2,0.0,88.1
2021-07-01,01 - Andalucía,Cádiz,REMCAUDA,66,36.74917105,-6.34009288,33.6,0.0,0.0,33.6
2021-07-01,01 - Andalucía,Cádiz,REMCAUDA,15,36.74917105,-6.34009288,12.3,0.0,0.0,12.3
2021-07-01,01 - Andalucía,Cádiz,ROTA,66,36.67762795,-6.39987306,47.6,39.2,0.0,47.6
2021-07-01,01 - Andalucía,Cádiz,ROTA,15,36.67762795,-6.39987306,26.0,0.0,0.0,26.0
2021-07-01,01 - Andalucía,Cádiz,S_BARRAM,66,36.76795101,-6.33470782,28.7,31.5,0.0,28.7
2021-07-01,01 - Andalucía,Cádiz,S_BARRAM,15,36.76795101,-6.33470782,31.8,0.0,0.0,31.8
2021-07-01,01 - Andalucía,Cádiz,S_DOMING,66,36.68180757,-6.16569421,132.5,28.8,0.0,132.5
2021-07-01,01 - Andalucía,Cádiz,S_DOMING,15,36.68180757,-6.16569421,31.7,0.0,0.0,31.7
2021-07-01,01 - Andalucía,Cádiz,S_FERNAN,66,36.47750575,-6.18895414,102.9,0.0,0.0,102.9
2021-07-01,01 - Andalucía,Cádiz,S_FERNAN,20,36.47750575,-6.18895414,57.8,0.0,0.0,57.8
2021-07-01,01 - Andalucía,Cádiz,S_ROQUE,66,36.21175163,-5.43021098,0.0,0.0,0.0,0.0
2021-07-01,01 - Andalucía,Cádiz,S_ROQUE,15,36.21175163,-5.43021098,0.0,0.0,0.0,0.0
2021-07-01,01 - Andalucía,Cádiz,SALINAS,66,36.60229995,-6.18849423,30.0,0.0,0.0,30.0
2021-07-01,01 - Andalucía,Cádiz,SALINAS,15,36.60229995,-6.18849423,21.2,0.0,0.0,21.2
2021-07-01,01 - Andalucía,Cádiz,SOTOGRAN,66,36.29641671,-5.30604785,0.0,25.8,0.0,0.0
2021-07-01,01 - Andalucía,Cádiz,SOTOGRAN,20,36.29641671,-5.30604785,0.0,0.0,0.0,0.0
2021-07-01,01 - Andalucía,Cádiz,TABLELLI,66,36.71032632,-5.83817547,33.7,0.0,0.0,33.7
2021-07-01,01 - Andalucía,Cádiz,TROCADER,66,36.51906417,-6.22152848,65.7,0.0,0.0,65.7
2021-07-01,01 - Andalucía,Cádiz,TROCADER,20,36.51906417,-6.22152848,46.1,0.0,0.0,46.1
2021-07-01,01 - Andalucía,Cádiz,UBRIQUE,66,36.69414503,-5.46120235,15.4,10.0,0.0,15.4
2021-07-01,01 - Andalucía,Cádiz,UBRIQUE,20,36.69414503,-5.46120235,16.4,0.0,0.0,16.4
2021-07-01,01 - Andalucía,Cádiz,VALDELAG,66,36.5888237,-6.21831616,24.6,45.0,0.0,24.6
2021-07-01,01 - Andalucía,Cádiz,VALDELAG,15,36.5888237,-6.21831616,24.6,0.0,0.0,24.6
2021-07-01,01 - Andalucía,Cádiz,VALENCIA,66,36.62072972,-6.20849796,39.7,0.0,0.0,39.7
2021-07-01,01 - Andalucía,Cádiz,VALENCIA,15,36.62072972,-6.20849796,34.2,0.0,0.0,34.2
2021-07-01,01 - Andalucía,Cádiz,VEJER,66,36.26335209,-5.97148832,0.0,0.0,0.0,0.0
2021-07-01,01 - Andalucía,Cádiz,VEJER,20,36.26335209,-5.97148832,0.0,0.0,0.0,0.0
2021-07-01,01 - Andalucía,Cádiz,VILLMART,66,36.85572577,-5.65662369,20.1,0.0,0.0,20.1
2021-07-01,01 - Andalucía,Cádiz,VILLMART,20,36.85572577,-5.65662369,18.5,9.0,0.0,18.5
2021-07-01,01 - Andalucía,Cádiz,VILLMART,15,36.85572577,-5.65662369,11.7,0.0,0.0,11.7
2021-07-01,01 - Andalucía,Córdoba,ARENOSO,66,38.01976001,-4.4420617,0.0,12.5,0.0,0.0
2021-07-01,01 - Andalucía,Córdoba,BAENA,132,37.61439379,-4.31663703,0.0,20.0,0.0,0.0
2021-07-01,01 - Andalucía,Córdoba,BAENA,25,37.61439379,-4.31663703,0.0,0.0,0.0,0.0
2021-07-01,01 - Andalucía,Córdoba,CANSINOS,66,37.9277349,-4.59652322,0.0,0.0,0.0,0.0
2021-07-01,01 - Andalucía,Córdoba,CANSINOS,20,37.9277349,-4.59652322,0.0,4.6,0.0,0.0
2021-07-01,01 - Andalucía,Córdoba,CARDENAS,66,38.27415218,-4.32399905,0.0,0.0,0.0,0.0
2021-07-01,01 - Andalucía,Córdoba,CARLOTA,66,37.67967975,-4.92365437,0.0,0.0,0.0,0.0
2021-07-01,01 - Andalucía,Córdoba,CARLOTA,15,37.67967975,-4.92365437,0.0,9.8,0.0,0.0
2021-07-01,01 - Andalucía,Córdoba,CARPIO,66,37.96559348,-4.50033176,0.0,8.4,0.0,0.0
2021-07-01,01 - Andalucía,Córdoba,CARPIO,25,37.96559348,-4.50033176,0.0,0.0,0.0,0.0
2021-07-01,01 - Andalucía,Córdoba,CASILLAS,132,37.85813984,-4.81208447,0.0,100.0,0.0,0.0
2021-07-01,01 - Andalucía,Córdoba,CASILLAS,66,37.85813984,-4.81208447,44.9,60.0,0.0,44.9
2021-07-01,01 - Andalucía,Córdoba,CASILLAS,20,37.85813984,-4.81208447,50.9,0.0,0.0,50.9
2021-07-01,01 - Andalucía,Córdoba,CEPANSA,66,37.90230621,-4.75825963,73.6,0.0,0.0,73.6
2021-07-01,01 - Andalucía,Córdoba,CEPANSA,20,37.90230621,-4.75825963,31.9,0.0,0.0,31.9
2021-07-01,01 - Andalucía,Córdoba,CORDBILL,66,37.36999633,-4.74898899,0.0,15.3,0.0,0.0
2021-07-01,01 - Andalucía,Córdoba,CORDBILL,25,37.36999633,-4.74898899,0.0,18.3,0.0,0.0
2021-07-01,01 - Andalucía,Córdoba,CRUZJUAR,66,37.89523782,-4.77995067,71.0,0.0,0.0,71.0
2021-07-01,01 - Andalucía,Córdoba,CRUZJUAR,20,37.89523782,-4.77995067,71.0,0.0,0.0,71.0
2021-07-01,01 - Andalucía,Córdoba,DANIEL_T,132,38.35713544,-4.8288095,0.0,39.2,0.0,0.0
2021-07-01,01 - Andalucía,Córdoba,EGABRENS,132,37.47063838,-4.49571596,0.0,21.0,0.0,0.0
