distribuidora,subestacion,tension_kv,provincia,n_eventos,mes_top,mes_top_pct,trimestre_top,tri_top_pct,avg_delta_mw,max_delta_mw,patron_claro,fechas_eventos
REE,BADALONA,220.0,,4,2,25.0,1,50.0,35.0,60.0,True,2024-02-01|2024-03-01|2024-10-01|2024-11-04
Endesa,HINOJERA,66.0,Cádiz,4,11,25.0,4,50.0,34.9,49.9,True,2021-11-01|2022-01-01|2025-10-01|2026-03-01
Endesa,TORDERA,110.0,Barcelona,4,10,50.0,4,50.0,34.7,57.7,True,2021-10-01|2022-04-01|2025-10-01|2026-03-01
Endesa,ALMONTE,66.0,Huelva,4,9,25.0,2,50.0,34.6,65.4,True,2021-09-01|2022-02-01|2022-04-01|2026-05-01
iDE,MORALEJA    45.000,45.0,MADRID,4,5,25.0,2,50.0,34.5,42.0,True,2024-05-29|2024-06-25|2024-07-23|2024-08-27
Endesa,MATA,110.0,Barcelona,4,9,25.0,4,50.0,33.6,104.6,True,2021-09-01|2022-04-01|2025-10-01|2025-12-01
REE,MORALEJA,220.0,,4,5,25.0,2,50.0,33.5,86.0,True,2024-05-16|2024-06-03|2025-09-01|2025-12-01
REE,TIBO,220.0,,4,2,25.0,1,50.0,32.5,48.0,True,2024-02-01|2025-01-02|2025-12-01|2026-05-01
REE,MOTORS,220.0,,4,1,25.0,1,50.0,32.2,60.0,True,2024-01-02|2024-03-01|2024-08-01|2024-12-02
Endesa,S.MATEU,110.0,Barcelona,4,8,25.0,4,50.0,31.0,95.4,True,2021-08-01|2022-04-01|2025-10-01|2025-12-01
UFD,LA POVEDA,45.0,MADRID,4,2,50.0,1,50.0,30.9,74.6,True,2022-02-27|2023-07-10|2024-12-17|2026-02-01
REE,LASTRAS,400.0,,4,4,25.0,2,50.0,30.0,50.0,True,2025-04-01|2025-07-01|2025-08-01|2026-05-01
iDE,ST JUNDIZ   30.000,30.0,ÁLAVA,4,1,25.0,4,75.0,29.6,61.1,True,2025-01-30|2025-10-03|2025-11-01|2025-12-01
Endesa,NEVERO,66.0,Badajoz,4,5,50.0,2,50.0,28.4,56.9,True,2022-05-01|2025-10-01|2025-12-01|2026-05-01
Endesa,LAGELTRU,25.0,Barcelona,4,8,25.0,2,50.0,27.6,56.8,True,2021-08-01|2022-04-01|2022-06-01|2025-12-01
UFD,LOURIZAN,66.0,PONTEVEDRA,4,2,25.0,1,75.0,27.5,50.0,True,2022-02-27|2023-03-29|2025-01-27|2025-10-01
UFD,GETAFE,45.0,MADRID,4,12,50.0,4,50.0,27.4,46.0,True,2022-02-27|2023-07-10|2023-12-22|2024-12-17
Endesa,BELLISSENS,25.0,Tarragona,4,12,50.0,4,50.0,27.2,55.1,True,2021-12-01|2022-05-01|2025-12-01|2026-03-01
Endesa,FARGUE,66.0,Granada,4,11,25.0,4,50.0,26.6,49.8,True,2021-11-01|2022-01-01|2022-03-01|2025-10-01
REE,ALARCOS,220.0,,4,2,25.0,4,50.0,25.8,55.0,True,2025-02-03|2025-07-01|2025-10-01|2025-12-01
